,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
0,Sequential,1,100000,,10.785529,1.0,1.0
1,Parallel,1,100000,2.0,10.808176,0.9979046418193043,0.49895232090965214
2,Thread Pool API,1,100000,2.0,10.777149,1.0007775711368563,0.5003887855684281
3,Parallel,1,100000,4.0,10.787577,0.9998101519924261,0.24995253799810652
4,Thread Pool API,1,100000,4.0,10.877229,0.9915695440447195,0.24789238601117988
5,Parallel,1,100000,6.0,10.782501,1.000280825385502,0.16671347089758368
6,Thread Pool API,1,100000,6.0,10.839566,0.9950148373099071,0.16583580621831787
7,Parallel,1,100000,8.0,10.765141,1.0018938906606054,0.12523673633257568
8,Thread Pool API,1,100000,8.0,10.814327,0.9973370511174666,0.12466713138968333
9,Parallel,1,100000,12.0,10.815564,0.9972229834708574,0.08310191528923812
10,Thread Pool API,1,100000,12.0,10.803977,0.9982924806300495,0.08319104005250412
11,Parallel,1,100000,16.0,10.813613,0.99740290317399,0.06233768144837438
12,Thread Pool API,1,100000,16.0,10.849195,0.9941317305108812,0.062133233156930076
13,Parallel,1,100000,24.0,10.795867,0.9990424113227776,0.04162676713844907
14,Thread Pool API,1,100000,24.0,10.805665,0.9981365330130076,0.041589022208875316
15,Parallel,1,100000,36.0,10.772748,1.0011864196581968,0.027810733879394353
16,Thread Pool API,1,100000,36.0,10.845376,0.9944817957441033,0.02762449432622509
17,Sequential,10,100000,,107.98662,1.0,1.0
18,Parallel,10,100000,2.0,54.193361,1.992617139948194,0.996308569974097
19,Thread Pool API,10,100000,2.0,54.310224,1.9883294902263708,0.9941647451131854
20,Parallel,10,100000,4.0,32.713844,3.3009456180080825,0.8252364045020206
21,Thread Pool API,10,100000,4.0,32.785712,3.2937097721104855,0.8234274430276214
22,Parallel,10,100000,6.0,22.136558,4.878202835327877,0.8130338058879795
23,Thread Pool API,10,100000,6.0,22.061912,4.894708128651769,0.8157846881086281
24,Parallel,10,100000,8.0,27.084722,3.9869938484138774,0.4983742310517347
25,Thread Pool API,10,100000,8.0,22.110991,4.883843514747937,0.6104804393434922
26,Parallel,10,100000,12.0,18.605633,5.803974527499279,0.48366454395827324
27,Thread Pool API,10,100000,12.0,18.725572,5.766799540222323,0.4805666283518602
28,Parallel,10,100000,16.0,18.587726,5.809565946904963,0.3630978716815602
29,Thread Pool API,10,100000,16.0,18.574666,5.813650700367909,0.36335316877299434
30,Parallel,10,100000,24.0,18.532807,5.826781663457673,0.24278256931073638
31,Thread Pool API,10,100000,24.0,18.520529,5.830644470252443,0.24294351959385177
32,Parallel,10,100000,36.0,18.608428,5.803102766122963,0.1611972990589712
33,Thread Pool API,10,100000,36.0,18.705,5.773141940657579,0.16036505390715497
34,Sequential,20,100000,,215.672755,1.0,1.0
